ticket_id,created_at,category,priority,description,resolution_time_hours,satisfaction_score
1000,2025-03-03 08:37,Account_Access,High,Need access to the shared finance drive for a project,2.4,4.8
1001,2025-03-03 15:12,Hardware,Low,Laptop won't power on at all,35.5,4.4
1002,2025-03-03 07:48,Printer,Low,Can't add the new printer to my laptop,5.8,3.2
1003,2025-03-03 12:06,Printer,Low,Can't add the new printer to my laptop,3.6,4.9
1004,2025-03-03 07:46,Network_VPN,Medium,VPN keeps disconnecting every few minutes,6.9,2.4
1005,2025-03-03 17:39,Hardware,Critical,Laptop won't power on at all,10.4,4.3
1006,2025-03-03 10:49,Email,Medium,Outlook stuck in offline mode,8.1,2.1
1007,2025-03-03 14:40,Account_Access,High,Locked out of my account after password expired,2.9,4.1
1008,2025-03-03 17:41,Email,Medium,Emails to external clients are bouncing back,5.0,3.9
1009,2025-03-03 11:59,Network_VPN,Medium,"Cannot connect to VPN, authentication failed error",6.2,4.2
1010,2025-03-03 07:14,Software,Low,Software freezes whenever I try to export a file,13.1,3.2
1011,2025-03-03 16:56,Email,Medium,Outlook stuck in offline mode,4.1,4.9
1012,2025-03-03 14:09,Printer,Medium,Print jobs stuck in queue and won't clear,4.8,3.4
1013,2025-03-03 13:57,Account_Access,High,Need access to the shared finance drive for a project,2.0,4.6
1014,2025-03-03 08:48,Software,Low,License activation error on design software,24.0,2.8
1015,2025-03-03 16:04,Network_VPN,Medium,VPN keeps disconnecting every few minutes,5.5,4.5
1016,2025-03-03 07:43,Hardware,Critical,Laptop fan is extremely loud and it's overheating,13.0,5.0
1017,2025-03-03 09:29,Printer,Medium,Printer is printing blank pages,4.5,2.4
1018,2025-03-03 08:55,Network_VPN,Critical,Wi-Fi drops constantly in the east building,3.1,4.3
1019,2025-03-03 15:49,Software,Medium,Software freezes whenever I try to export a file,10.4,4.6
1020,2025-03-04 11:15,Email,Medium,Outlook stuck in offline mode,4.4,4.0
1021,2025-03-04 08:48,Network_VPN,Critical,VPN client won't launch after latest update,1.2,4.2
1022,2025-03-04 11:33,Hardware,Medium,Battery drains fully within an hour,47.0,2.8
1023,2025-03-04 18:12,Email,Critical,Not receiving any emails since this morning,3.1,4.6
1024,2025-03-04 15:28,Printer,Critical,Can't add the new printer to my laptop,1.7,4.2
1025,2025-03-04 16:14,Network_VPN,Low,"Cannot connect to VPN, authentication failed error",4.5,4.3
1026,2025-03-04 08:32,Network_VPN,Medium,VPN keeps disconnecting every few minutes,11.3,3.3
1027,2025-03-04 16:36,Account_Access,Medium,Requesting elevated access to the deployment pipeline,2.7,4.9
1028,2025-03-04 13:22,Hardware,High,Docking station won't detect external monitor,10.5,3.6
1029,2025-03-04 17:06,Hardware,Critical,Docking station won't detect external monitor,4.9,4.5
1030,2025-03-04 15:28,Network_VPN,High,Wi-Fi drops constantly in the east building,1.6,3.8
